"","genus","species","reference_no","subfamily","Tribe","Genus","Fossil","min_ma","max_ma","Notes"
"263","Formica","cockerelli",4971,"Formicinae","None","Formica","Yes",33.9,37.2,"Note"
"264","Formica","demersa",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"265","Formica","eoptera",42241,"Formicinae","None","Formica","Yes",33.9,37.2,"Note"
"266","Formica","flavifemoralis",36942,"Formicinae","None","Formica","Yes",11.608,15.97,"Note"
"267","Formica","flori",38999,"Formicinae","None","Formica","Yes",28.4,33.9,"Note"
"268","Formica","fusca",16579,"Formicinae","None","Formica","Yes",11.608,15.97,"Note"
"269","Formica","gibbosa",44584,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"270","Formica","globiventris",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"271","Formica","grandis",4971,"Formicinae","None","Formica","Yes",33.9,37.2,"Note"
"272","Formica","gravida",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"273","Formica","gustawi",44522,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"274","Formica","heteroptera",41450,"Formicinae","None","Formica","Yes",41.3,47.8,"Note"
"275","Formica","horrida",40999,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"276","Formica","immersa",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"277","Formica","kutscheri",44522,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"278","Formica","latinodosa",38999,"Formicinae","None","Formica","Yes",23.03,28.1,"Note"
"279","Formica","lavateri",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"280","Formica","linquensis",16579,"Formicinae","None","Formica","Yes",11.608,15.97,"Note"
"281","Formica","longicollis",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"282","Formica","lucida",47505,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"283","Formica","luteola",44584,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"284","Formica","macrocephala",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"285","Formica","macrognatha",44584,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"286","Formica","macrophthalma",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"287","Formica","maculipennis",44462,"Formicinae","None","Formica","Yes",5.333,7.246,"Note"
"288","Formica","martynovi",44457,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"289","Formica","neorufibarbis",55325,"Formicinae","None","Formica","Yes",0.0117,0.126,"Note"
"290","Formica","nigra",44584,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"291","Formica","obscura",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"292","Formica","orbata",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"293","Formica","ovala",16579,"Formicinae","None","Formica","Yes",11.608,15.97,"Note"
"294","Formica","palaeopolonica",44522,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"295","Formica","paleosibirica",56094,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"296","Formica","parexsecta",51760,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"297","Formica","parvula",44584,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"298","Formica","phaethusa",40999,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"299","Formica","pitoni",44462,"Formicinae","None","Formica","Yes",2.588,3.6,"Note"
"300","Formica","primitiva",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"301","Formica","primordialis",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"302","Formica","procera",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"303","Formica","pulchella",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"304","Formica","quadrata",44586,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"305","Formica","radchenkoi",44522,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"306","Formica","robusta",4971,"Formicinae","None","Formica","Yes",33.9,37.2,"Note"
"307","Formica","sepulta",38999,"Formicinae","None","Formica","Yes",28.4,33.9,"Note"
"308","Formica","serresi",38999,"Formicinae","None","Formica","Yes",23.03,28.1,"Note"
"309","Formica","seuberti",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"310","Formica","strangulata",40999,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"311","Formica","surinamensis",44587,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"312","Formica","trigona",44584,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"313","Formica","tripartita",38999,"Formicinae","None","Formica","Yes",28.4,33.9,"Note"
"314","Formica","ungeri",37344,"Formicinae","None","Formica","Yes",11.608,12.7,"Note"
"315","Formica","zherikhini",44522,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"316","Formicinae",NA,44418,"Formicinae","None","None","Yes",46.2,50.3,"Note"
"317","Fushuniformica","spinata",40725,"Formicinae","None","Fushuniformica","Yes",48.6,55.8,"Note"
"318","Gesomyrmex","bremii",37344,"Formicinae","None","Gesomyrmex","Yes",11.608,12.7,"Note"
"319","Gesomyrmex","breviceps",44599,"Formicinae","None","Gesomyrmex","Yes",40.4,48.6,"Note"
"320","Gesomyrmex","curiosus",44599,"Formicinae","None","Gesomyrmex","Yes",40.4,48.6,"Note"
"321","Gesomyrmex","flavescens",44599,"Formicinae","None","Gesomyrmex","Yes",40.4,48.6,"Note"
"322","Gesomyrmex","germanicus",44599,"Formicinae","None","Gesomyrmex","Yes",40.4,48.6,"Note"
"323","Gesomyrmex","hoernesi",40999,"Formicinae","None","Gesomyrmex","Yes",33.9,38,"Note"
"324","Gesomyrmex","incertus",56094,"Formicinae","None","Gesomyrmex","Yes",33.9,38,"Note"
"325","Gesomyrmex","macrops",56094,"Formicinae","None","Gesomyrmex","Yes",33.9,38,"Note"
"326","Gesomyrmex","magnus",56094,"Formicinae","None","Gesomyrmex","Yes",33.9,38,"Note"
"327","Gesomyrmex","pulcher",44599,"Formicinae","None","Gesomyrmex","Yes",40.4,48.6,"Note"
"328","Glaphyromyrmex","oligocenicus",38999,"Formicinae","None","Glaphyromyrmex","Yes",28.4,33.9,"Note"
"329","Heeridris","croaticus",51760,"Formicinae","None","Heeridris","Yes",11.608,12.7,"Note"
"330","Huaxiaformica","mallepetiolata",40725,"Formicinae","None","Huaxiaformica","Yes",48.6,55.8,"Note"
"331","Imhoffia","nigra",37344,"Formicinae","None","Imhoffia","Yes",11.608,12.7,"Note"
"332","Imhoffia","pallida",38709,"Formicinae","None","Imhoffia","Yes",11.608,12.7,"Note"
"333","Kyromyrma","neffi",36269,"Formicinae","None","Kyromyrma","Yes",89.8,93.9,"Note"
"334","Lasius",NA,39931,"Formicinae","None","Lasius","Yes",20.44,23.03,"Note"
"335","Lasius","anthracinus",51760,"Formicinae","None","Lasius","Yes",11.608,12.7,"Note"
"336","Lasius","chambonensis",44462,"Formicinae","None","Lasius","Yes",2.588,3.6,"Note"
"337","Lasius","crispus",44462,"Formicinae","None","Lasius","Yes",7.246,11.62,"Note"
"338","Lasius","epicentrus",38999,"Formicinae","None","Lasius","Yes",23.03,28.1,"Note"
"339","Lasius","globularis",38709,"Formicinae","None","Lasius","Yes",23.03,28.1,"Note"
"340","Lasius","glom",55770,"Formicinae","None","Lasius","Yes",41.3,47.8,"Note"
"341","Lasius","inflatus",16579,"Formicinae","None","Lasius","Yes",11.608,15.97,"Note"
"342","Lasius","longaevus",51392,"Formicinae","None","Lasius","Yes",11.608,12.7,"Note"
"343","Lasius","longipennis",37344,"Formicinae","None","Lasius","Yes",11.608,12.7,"Note"
"344","Lasius","mordicus",16579,"Formicinae","None","Lasius","Yes",11.608,15.97,"Note"
"345","Lasius","nemorivagus",40999,"Formicinae","None","Lasius","Yes",33.9,38,"Note"
"346","Lasius","oblongus",37742,"Formicinae","None","Lasius","Yes",5.333,11.608,"Note"
"347","Lasius","occultatus",37344,"Formicinae","None","Lasius","Yes",12.7,13.65,"Note"
"348","Lasius","ophthalmicus",51392,"Formicinae","None","Lasius","Yes",11.608,12.7,"Note"
"349","Lasius","peritulus",4971,"Formicinae","None","Lasius","Yes",33.9,37.2,"Note"
"350","Lasius","pumilus",44414,"Formicinae","None","Lasius","Yes",33.9,38,"Note"
"351","Lasius","punctulatus",44414,"Formicinae","None","Lasius","Yes",33.9,38,"Note"
"352","Lasius","schiefferdeckeri",44414,"Formicinae","None","Lasius","Yes",33.9,38,"Note"
"353","Lasius","tertiarius",44614,"Formicinae","None","Lasius","Yes",11.608,12.7,"Note"
"354","Lasius","truncatus",16579,"Formicinae","None","Lasius","Yes",11.608,15.97,"Note"
"355","Lasius","validus",16579,"Formicinae","None","Lasius","Yes",11.608,15.97,"Note"
"356","Lasius","vetulus",16579,"Formicinae","None","Lasius","Yes",11.608,15.97,"Note"
"357","Leptogasteritus","capricornutes",40725,"Formicinae","None","Leptogasteritus","Yes",48.6,55.8,"Note"
"358","Leucotaphus","donisthorpei",51861,"Formicinae","None","Leucotaphus","Yes",33.9,38,"Note"
"359","Leucotaphus","gurnetensis",37729,"Formicinae","None","Leucotaphus","Yes",33.9,38,"Note"
"360","Liaoformica","longipetiolata",40725,"Formicinae","None","Liaoformica","Yes",48.6,55.8,"Note"
"361","Longiformica","dongzhouheensis",40725,"Formicinae","None","Longiformica","Yes",48.6,55.8,"Note"
"362","Longiformica","guchengziensis",40725,"Formicinae","None","Longiformica","Yes",48.6,55.8,"Note"
"363","Magnogasterites","curticornutus",40725,"Formicinae","None","Magnogasterites","Yes",48.6,55.8,"Note"
"364","Myrmecorhynchus","novaeseelandiae",59088,"Formicinae","None","Myrmecorhynchus","Yes",20.44,23.03,"Note"
"365","Nylanderia","pygmaea",44414,"Formicinae","None","Nylanderia","Yes",33.9,38,"Note"
"366","Nylanderia","vetula",44618,"Formicinae","None","Nylanderia","Yes",13.82,20.44,"Note"
"367","Oecophylla","atavina",37729,"Formicinae","None","Oecophylla","Yes",33.9,38,"Note"
"368","Oecophylla","bartoniana",41450,"Formicinae","None","Oecophylla","Yes",41.3,47.8,"Note"
"369","Oecophylla","brischkei",44414,"Formicinae","None","Oecophylla","Yes",33.9,38,"Note"
"370","Oecophylla","crassinoda",40999,"Formicinae","None","Oecophylla","Yes",33.9,38,"Note"
"371","Oecophylla","eckfeldiana",37721,"Formicinae","None","Oecophylla","Yes",40.4,48.6,"Note"
"372","Oecophylla","grandimandibula",51140,"Formicinae","None","Oecophylla","Yes",5.333,8.7,"Note"
"373","Oecophylla","leakeyi",44619,"Formicinae","None","Oecophylla","Yes",15.97,20.44,"Note"
"374","Oecophylla","longiceps",37721,"Formicinae","None","Oecophylla","Yes",40.4,48.6,"Note"
"375","Oecophylla","megarche",37729,"Formicinae","None","Oecophylla","Yes",33.9,38,"Note"
"376","Oecophylla","obesa",37344,"Formicinae","None","Oecophylla","Yes",11.608,12.7,"Note"
"377","Oecophylla","praeclara",38738,"Formicinae","None","Oecophylla","Yes",28.4,33.9,"Note"
"378","Oecophylla","sicula",44518,"Formicinae","None","Oecophylla","Yes",5.333,11.608,"Note"
"379","Oecophylla","superba",38999,"Formicinae","None","Oecophylla","Yes",28.4,33.9,"Note"
"380","Orbicapitia","reticulata",40725,"Formicinae","None","Orbicapitia","Yes",48.6,55.8,"Note"
"381","Ovalicapito","fushunensis",40725,"Formicinae","None","Ovalicapito","Yes",48.6,55.8,"Note"
"382","Ovaligastrula","xilutianensis",40725,"Formicinae","None","Ovaligastrula","Yes",48.6,55.8,"Note"
"383","Plagiolepis","klinsmanni",44414,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"384","Plagiolepis","kuenowi",44414,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"385","Plagiolepis","labilis",44518,"Formicinae","None","Plagiolepis","Yes",5.333,11.608,"Note"
"386","Plagiolepis","minutissima",44578,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"387","Plagiolepis","paradoxa",44621,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"388","Plagiolepis","singularis",44414,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"389","Plagiolepis","solitaria",44414,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"390","Plagiolepis","squamifera",44414,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"391","Plagiolepis","wheeleri",44621,"Formicinae","None","Plagiolepis","Yes",33.9,38,"Note"
"392","Polyrhachis","annosus",42983,"Formicinae","None","Polyrhachis","Yes",5.333,7.246,"Note"
"393","Prenolepis","henschei",39242,"Formicinae","","Prenolepis","Yes",33.9,38,"Note"
"394","Prodimorphomyrmex","primigenius",40999,"Formicinae","None","Prodimorphomyrmex","Yes",33.9,38,"Note"
"395","Protoformica","proformicoides",11234,"Formicinae","None","Protoformica","Yes",33.9,38,"Note"
"396","Protomyrmica","atavia",44624,"Formicinae","None","Protomyrmica","Yes",33.9,38,"Note"
"397","Protrechina","carpenteri",38990,"Formicinae","None","Protrechina","Yes",38,41.3,"Note"
"398","Pseudocamponotus","elkoanus",4971,"Formicinae","None","Pseudocamponotus","Yes",28.4,37.2,"Note"
"399","Pseudolasius","boreus",40999,"Formicinae","None","Pseudolasius","Yes",33.9,38,"Note"
"400","Sicilomyrmex","corniger",44518,"Formicinae","None","Sicilomyrmex","Yes",5.333,11.608,"Note"
"401","Sinoformica","longicapitata",40725,"Formicinae","None","Sinoformica","Yes",48.6,55.8,"Note"
"402","Sinotenuicapito","badis",40725,"Formicinae","None","Sinotenuicapito","Yes",48.6,55.8,"Note"
"403","Wilsonia","liaoningensis",40725,"Formicinae","None","Wilsonia","Yes",48.6,55.8,"Note"
"404","Wilsonia","megagastrosa",40725,"Formicinae","None","Wilsonia","Yes",48.6,55.8,"Note"
"405","Zatania","electra",44640,"Formicinae","None","Zatania","Yes",13.82,20.44,"Note"
"406","Formicium","berryi",44588,"Fomiciinae","None","Formicium","Yes",38,41.3,"Note"
"407","Formicium","brodiei",49700,"Fomiciinae","None","Formicium","Yes",33.9,38,"Note"
"408","Calyptites","antediluvianum",39765,"Incertae","None","Calyptites","Yes",23.03,33.9,"Possibly not an ant, date seems goofy"
"409","Camelomecia",NA,58266,"Incertae","None","Camelomecia","Yes",93.5,99.6,"Possibly not an ant"
"410","Camelomecia","janovitzi",58266,"Incertae","None","Camelomecia","Yes",93.5,99.6,"Possibly not an ant"
"411","Cretopone","magna",37059,"Incertae","None","Cretopone","Yes",89.8,93.9,"Possibly not an ant"
"412","Curticorna","leptogastrosa",40725,"Incertae","None","Curticorna","Yes",48.6,55.8,"Possibly not an ant"
"413","Eoaenictites","castanifurvus",40725,"Incertae","None","Eoaenictites","Yes",48.6,55.8,"Maybe not an ant"
"414","Eoformica","brevipetiola",55770,"Incertae","None","Eoformica","Yes",41.3,47.8,"Maybe not an ant"
"415","Eoformica","expectans",38999,"Incertae","None","Eoformica","Yes",28.4,33.9,"Maybe not an ant"
"416","Eoformica","globularis",44418,"Incertae","None","Eoformica","Yes",46.2,50.3,"Maybe not an ant"
"417","Eoformica","latimedia",55770,"Incertae","None","Eoformica","Yes",41.3,47.8,"Maybe not an ant"
"418","Eoformica","magna",44418,"Incertae","None","Eoformica","Yes",46.2,50.3,"Maybe not an ant"
"419","Eoformica","pinguis",5045,"Incertae","None","Eoformica","Yes",46.2,50.3,"Maybe not an ant"
"420","Fonsecahymen","stigmata",44582,"Incertae","None","Fonsecahymen","Yes",33.9,38,"Maybe not an ant"
"421","Klondikia","whiteae",44418,"Incertae","None","Klondikia","Yes",47.8,56,"Maybe not an ant"
"422","Kohlsimyrma","gracilis",44418,"Incertae","None","Kohlsimyrma","Yes",46.2,50.3,"Maybe not an ant"
"423","Kohlsimyrma","laticeps",44418,"Incertae","None","Kohlsimyrma","Yes",46.2,50.3,"Maybe not an ant"
"424","Kohlsimyrma","longiceps",44418,"Incertae","None","Kohlsimyrma","Yes",46.2,50.3,"Maybe not an ant"
"425","Myanmyrma","gracilis",36535,"Incertae","None","Myanmyrma","Yes",93.5,99.6,"Maybe not an ant"
"426","Petropone","petiolata",37059,"Incertae","None","Petropone","Yes",89.8,93.9,"Note"
"427","Eocynipites","xilutianensis",40725,"Insect","None","Eocynipites","Yes",48.6,55.8,"Not an ant"
"428","Pristomyrmex","rasnitsyni",44628,"Myrmicinae","None","Pristomyrmex","Yes",33.9,38,"Note"
"429","Quadrulicapito","longa",40725,"Myrmicinae","None","Quadrulicapito","Yes",48.6,55.8,"Note"
"430","Sinomyrmex","brunneus",40725,"Myrmicinae","None","Sinomyrmex","Yes",48.6,55.8,"Note"
"431","Sinomyrmex","furvis",40725,"Myrmicinae","None","Sinomyrmex","Yes",48.6,55.8,"Note"
"432","Solenopsidini",NA,39931,"Myrmicinae","Solenopsidini","Solenopsidini","Yes",20.44,23.03,"Note"
"433","Solenopsis",NA,56112,"Myrmicinae","Solenopsidini","Solenopsis","Yes",5.333,8.7,"Note"
"434","Solenopsis","alena",38999,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"435","Solenopsis","blanda",38738,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"436","Solenopsis","foersteri",38999,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"437","Solenopsis","maxima",38738,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"438","Solenopsis","moesta",38738,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"439","Solenopsis","privata",38738,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"440","Solenopsis","superba",38738,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"441","Solenopsis","valida",38738,"Myrmicinae","Solenopsidini","Solenopsis","Yes",28.4,33.9,"Note"
"442","Solenopsites","abdita",55770,"Myrmicinae","Solenopsidini","Solenopsites","Yes",41.3,47.8,"Note"
"443","Solenopsites","minutus",44418,"Myrmicinae","Solenopsidini","Solenopsites","Yes",46.2,50.3,"Note"
"444","Solenopsites","rossi",51861,"Myrmicinae","Solenopsidini","Solenopsites","Yes",33.9,38,"Note"
"445","Veromessor","andrei",52639,"Myrmicinae","None","Veromessor","Yes",0.012,0.3,"Note"
"446","Vollenhovia","beyrichi",44414,"Myrmicinae","None","Vollenhovia","Yes",33.9,38,"Note"
"447","Vollenhovia","prisca",44622,"Myrmicinae","None","Vollenhovia","Yes",33.9,38,"Note"
"448","Wumyrmex","furvis",40725,"Myrmicinae","None","Wumyrmex","Yes",48.6,55.8,"Note"
"449","Zhangidris","atopogaster",16579,"Myrmicinae","None","Zhangidris","Yes",11.608,15.97,"Note"
"450","Archimyrmex","piatnitzkyi",44403,"Myrmiciinae","None","Archimyrmex","Yes",41.3,47.8,"Note"
"451","Archimyrmex","rostratus",44405,"Myrmiciinae","None","Archimyrmex","Yes",46.2,50.3,"Note"
"452","Archimyrmex","smekali",44436,"Myrmiciinae","None","Archimyrmex","Yes",41.3,47.8,"Note"
"453","Archimyrmex","wedmannae",41794,"Myrmiciinae","None","Archimyrmex","Yes",40.4,48.6,"Note"
"454","Avitomyrmex","elongatus",38422,"Myrmiciinae","None","Avitomyrmex","Yes",47.8,56,"Note"
"455","Avitomyrmex","mastax",38422,"Myrmiciinae","None","Avitomyrmex","Yes",47.8,56,"Note"
"456","Avitomyrmex","systenus",38422,"Myrmiciinae","None","Avitomyrmex","Yes",47.8,56,"Note"
"457","Myrmeciites",NA,38422,"Myrmiciinae","None","Myrmeciites","Yes",47.8,56,"Note"
"458","Myrmeciites","goliath",38422,"Myrmiciinae","None","Myrmeciites","Yes",47.8,56,"Note"
"459","Myrmeciites","herculeanus",38422,"Myrmiciinae","None","Myrmeciites","Yes",47.8,56,"Note"
"460","Myrmeciites","tabanifluviensis",38422,"Myrmiciinae","None","Myrmeciites","Yes",47.8,56,"Note"
"461","Prionomyrmex",NA,49311,"Myrmiciinae","None","Prionomyrmex","Yes",33.9,38,"Note"
"462","Prionomyrmex","janzeni",44627,"Myrmiciinae","None","Prionomyrmex","Yes",33.9,56,"Note"
"463","Prionomyrmex","longiceps",44414,"Myrmiciinae","None","Prionomyrmex","Yes",33.9,38,"Note"
"464","Prionomyrmex","wappleri",41794,"Myrmiciinae","None","Prionomyrmex","Yes",23.03,28.4,"Note"
"465","Ypresiomyrma","bartletti",38422,"Myrmiciinae","None","Ypresiomyrma","Yes",47.8,56,"Note"
"466","Ypresiomyrma","orbiculata",38422,"Myrmiciinae","None","Ypresiomyrma","Yes",47.8,56,"Note"
"467","Ypresiomyrma","orientalis",56094,"Myrmiciinae","None","Ypresiomyrma","Yes",33.9,38,"Note"
"468","Ypresiomyrma","rebekkae",44639,"Myrmiciinae","None","Ypresiomyrma","Yes",47.8,56,"Note"
"469","Acanthognathus","poinari",44409,"Myrmicinae","None","Acanthognathus","Yes",13.82,20.44,"Note"
"470","Afromyrma","petrosa",38353,"Myrmicinae","None","Afromyrma","Yes",89.8,93.9,"Note"
"471","Agastomyrma","laticeps",56094,"Myrmicinae","None","Agastomyrma","Yes",33.9,38,"Note"
"472","Aphaenogaster",NA,34859,"Myrmicinae","None","Aphaenogaster","Yes",5.333,7.246,"Note"
"473","Aphaenogaster","amphioceanica",5186,"Myrmicinae","","Aphaenogaster","Yes",13.82,20.44,"Note"
"474","Aphaenogaster","antiqua",44578,"Myrmicinae","","Aphaenogaster","Yes",33.9,38,"Note"
"475","Aphaenogaster","archaica",44433,"Myrmicinae","","Aphaenogaster","Yes",23.03,28.4,"Note"
"476","Aphaenogaster","avita",34858,"Myrmicinae","None","Aphaenogaster","Yes",13.82,15.97,"Note"
"477","Aphaenogaster","donisthorpei",4971,"Myrmicinae","","Aphaenogaster","Yes",33.9,37.2,"Note"
"478","Aphaenogaster","dumetora",47627,"Myrmicinae","","Aphaenogaster","Yes",11.608,15.97,"Note"
"479","Aphaenogaster","lapidescens",16579,"Myrmicinae","","Aphaenogaster","Yes",11.608,15.97,"Note"
"480","Aphaenogaster","longaeva",39765,"Myrmicinae","Attini","Aphaenogaster","Yes",23.03,33.9,"Note"
"481","Aphaenogaster","maculata",38999,"Myrmicinae","","Aphaenogaster","Yes",23.03,28.1,"Note"
"482","Aphaenogaster","maculipes",38999,"Myrmicinae","","Aphaenogaster","Yes",28.4,33.9,"Note"
"483","Aphaenogaster","mayri",4971,"Myrmicinae","","Aphaenogaster","Yes",33.9,37.2,"Note"
"484","Aphaenogaster","mersa",40999,"Myrmicinae","","Aphaenogaster","Yes",33.9,38,"Note"
"485","Aphaenogaster","oligocenica",40999,"Myrmicinae","","Aphaenogaster","Yes",33.9,38,"Note"
"486","Aphaenogaster","paludosa",16579,"Myrmicinae","","Aphaenogaster","Yes",11.608,15.97,"Note"
"487","Aphaenogaster","pannonica",44435,"Myrmicinae","","Aphaenogaster","Yes",5.333,7.246,"Note"
"488","Aphaenogaster","praerelicta",5186,"Myrmicinae","","Aphaenogaster","Yes",15.97,23.03,"Note"
"489","Aphaenogaster","shanwangensis",15208,"Myrmicinae","","Aphaenogaster","Yes",11.608,15.97,"Note"
"490","Aphaenogaster","sommerfeldti",44414,"Myrmicinae","","Aphaenogaster","Yes",33.9,38,"Note"
"491","Apterostigma","electropilosum",40811,"Myrmicinae","","Apterostigma","Yes",13.82,20.44,"Note"
"492","Apterostigma","eowilsoni",40811,"Myrmicinae","","Apterostigma","Yes",13.82,20.44,"Note"
"493","Attopsis","longipennis",37344,"Myrmicinae","None","Attopsis","Yes",11.608,12.7,"Note"
"494","Attopsis","longipes",38709,"Myrmicinae","None","Attopsis","Yes",11.608,12.7,"Note"
"495","Biamomyrma","lata",56094,"Myrmicinae","None","Biamomyrma","Yes",33.9,38,"Note"
"496","Biamomyrma","rugosa",56094,"Myrmicinae","None","Biamomyrma","Yes",33.9,38,"Note"
"497","Biamomyrma","zherikhini",56094,"Myrmicinae","None","Biamomyrma","Yes",33.9,38,"Note"
"498","Bilobomyrma","baltica",48824,"Myrmicinae","None","Bilobomyrma","Yes",33.9,38,"Note"
"499","Bilobomyrma","ukrainica",48824,"Myrmicinae","None","Bilobomyrma","Yes",33.9,38,"Note"
"500","Boltonidris","mirabilis",48397,"Myrmicinae","None","Boltonidris","Yes",33.9,38,"Note"
"501","Brachytarsites","dongzhouheensis",40725,"Myrmicinae","None","Brachytarsites","Yes",48.6,55.8,"Note"
"502","Carebara","antiqua",44414,"Myrmicinae","Crematogastrini","Carebara","Yes",33.9,38,"Note"
"503","Carebara","bohemica",44517,"Myrmicinae","Crematogastrini","Carebara","Yes",15.97,16.9,"Note"
"504","Carebara","nitida",44578,"Myrmicinae","Crematogastrini","Carebara","Yes",33.9,38,"Note"
"505","Carebara","rugiceps",37344,"Myrmicinae","Crematogastrini","Carebara","Yes",11.608,12.7,"Note"
"506","Carebara","schossnicensis",37742,"Myrmicinae","Crematogastrini","Carebara","Yes",5.333,11.608,"Note"
"507","Carebara","sophiae",44518,"Myrmicinae","Crematogastrini","Carebara","Yes",5.333,11.608,"Note"
"508","Carebara","thorali",44519,"Myrmicinae","Crematogastrini","Carebara","Yes",23.03,28.1,"Note"
"509","Carebara","ucrainica",44578,"Myrmicinae","Crematogastrini","Carebara","Yes",33.9,38,"Note"
"510","Cataulacus",NA,51392,"Myrmicinae","None","Cataulacus","Yes",11.608,12.7,"Note"
"511","Cataulacus","planiceps",44518,"Myrmicinae","None","Cataulacus","Yes",5.333,11.608,"Note"
"512","Cataulacus","plebeius",44523,"Myrmicinae","None","Cataulacus","Yes",15.97,20.44,"Note"
"513","Cataulacus","silvestrii",44518,"Myrmicinae","None","Cataulacus","Yes",5.333,11.608,"Note"
"514","Cephalomyrmex","rotundatus",4971,"Myrmicinae","None","Cephalomyrmex","Yes",33.9,37.2,"Note"
"515","Cephalotes",NA,57466,"Myrmicinae","None","Cephalotes","Yes",15.97,23.03,"Note"
"516","Cephalotes","alveolatus",40531,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"517","Cephalotes","bloosi",40586,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"518","Cephalotes","brevispineus",40586,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"519","Cephalotes","caribicus",40586,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"520","Cephalotes","dieteri",40586,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"521","Cephalotes","hispaniolicus",40586,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"522","Cephalotes","integerrimus",40531,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"523","Cephalotes","jansei",40531,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"524","Cephalotes","maya",40586,"Myrmicinae","None","Cephalotes","Yes",15.97,23.03,"Note"
"525","Cephalotes","obscurus",40531,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"526","Cephalotes","olmecus",40586,"Myrmicinae","None","Cephalotes","Yes",15.97,23.03,"Note"
"527","Cephalotes","poinari",40586,"Myrmicinae","None","Cephalotes","Yes",15.97,23.03,"Note"
"528","Cephalotes","resinae",40586,"Myrmicinae","None","Cephalotes","Yes",0,0.0117,"Note"
"529","Cephalotes","serratus",40531,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"530","Cephalotes","squamosus",40531,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"531","Cephalotes","sucinus",40586,"Myrmicinae","None","Cephalotes","Yes",13.82,20.44,"Note"
"532","Cephalotes","taino",40586,"Myrmicinae","None","Cephalotes","Yes",0,0.0117,"Note"
